cod_solicitud;nombres;apellidos;programa_academico;num_documento;celular ;correo_institucional;correo_personal;asunto;observaciones;cod_asignatura;nom_asignatura;tipo_solicitud;documento_origen;fecha_solicitud;estado;cedula
3725;Gloria;Eugenia;Tecnología en Atención Prehospitalaria (APH);1144543181;3192417830;cid@esehospitalsjg.com;alcaldia@angostura-antioquia.gov.co;Queja;Se nota el apoyo de los padres, por sus trabajos y calificaciones.;3814;Taller Armonía;Solicitud matricula academica;SOLMAAC;13-jul-2020;Revisado;1144972857
1076;Ana;Maria;Relaciones Internacionales y Estudios Políticos;1144741389;3176007201;subss@esehospitalsjg.com;gobierno@angostura-antioquia.gov.co;Queja;Alumno muy responsable y trabajador. ¡Felicidades!;1151;Teoría y Composición;Solicitud matricula academica;SOLMAAC;24-jun-2020;Pendiente;1144444691
9952;Diana;Marcela;Tecnología en Atención Prehospitalaria (APH);1144414541;3166712873;cexterna@esehospitalsjg.com;planeacion@angostura-antioquia.gov.co;Peticion;Muy participativo y ordenado en clases, no cambies.;8076;Teoría y Composición;Solicitud matricula academica;SOLMAAC;17-mar-2020;Revisado;1144830486
9441;Velez;Loaiza;Biología Aplicada;1144896283;3100958626;calidad@esehospitalsjg.com;depote@angostura-antioquia.gov.co;Peticion;Te falta estudiar y repasar en casa, ¡Échale muchas ganas!;7255;Teoría y Composición;Solicitud matricula academica;SOLMAAC;03-abr-2020;Pendiente;1144750576
1565;Velez;Zea;Premédico;1144902954;3135092677;sistemas@esehospitalsjg.com;gobierno@angostura-antioquia.gov.co;Peticion;Falta mucho a clases, lo que provoca que baje en su rendimiento escolar.;8735;Teoría y Composición;Solicitud matricula academica;SOLMAAC;02-feb-2020;Revisado;1144989681
9868;Villa;Amaya;Biología Aplicada;1144343861;3125035927;thumano@esehospitalsjg.com;planeacion@angostura-antioquia.gov.co;Peticion;Has mejorado mucho en tus trabajos, enhorabuena, sigue así.;3067;Instrumentación;Solicitud matricula academica;SOLMAAC;02-mar-2020;Pendiente;1144971297
2394;Villa;Mesa;Medicina;1144830701;3169600017;archivo@esehospitalsjg.com;sisben@angostura-antioquia.gov.co;Peticion;Es muy distraído y juguetón.;88;Taller Armonía;Solicitud matricula academica;SOLMAAC;02-jul-2020;Revisado;1144390225
6540;Villa;Taborda;Biología Aplicada;1144748497;3181848008;presupuesto@esehospitalsjg.com;discapacidad@angostura-antioquia.gov.co;Peticion;Excelente alumno, sigue así ¡felicidades!;2154;Teoría y Composición;Solicitud matricula academica;SOLMAAC;02-mar-2020;Pendiente;1144468072
7357;Zea;Henao;Contaduría Pública;1144761077;3163818573;gerencia@esehospitalsjg.com;justicia@angostura-antioquia.gov.co;Peticion;Se nota el apoyo de los padres, por sus trabajos y calificaciones.;5021;Teoría y Composición;Solicitud matricula academica;SOLMAAC;19-jul-2020;Revisado;1144809379
4028;Andres;Felipe;Tecnología en Gestión y Producción Hortícola;1144260947;3196487896;contabilidad@esehospitalsjg.com;umata@angostura-antioquia.gov.co;Peticion;Alumno muy responsable y trabajador. ¡Felicidades!;5837;Teoría y Composición;Solicitud matricula academica;SOLMAAC;05-mar-2020;Pendiente;1144367271
