cod_solicitud;nombres;apellidos;semestre;jornada;valorsemestre;concepto;valores_adicionales;fecha_limite_pago;fecha_inicio_recargo1;valor_recargo1;fecha_inicio_recargo2;valor_recargo2;fecha_inicio_recargo3;valor_recargo3;totalApagar_sinrecargo;totalApagar_recargo1;totalApagar_recargo2;totalApagar_recargo3;tipo_solicitud;documento_origen;fecha_solicitud;estado;cedula
5548;Jorge;Guzman;4;Diurna;1935602;Valor_semestre;0;20-jul-2020;28-mar-2020;168458;16-jul-2020;180517;09-jun-2020;131431;1935602;2104060;2284577;2416008;Solicitud de matricula financiera;SOLMAFI;31-ene-2020;Revisado;1144391453
5829;Jorge;Gaviria;3;Diurna;1163128;Valor_semestre/descuentoVotacion;-50000;09-mar-2020;30-may-2020;137551;21-jun-2020;168365;28-jun-2020;166144;1113128;1250679;1419044;1585188;Solicitud de matricula financiera;SOLMAFI;02-jun-2020;Pendiente;1144879954
1752;Lina;Giraldo;6;Nocturna;3917411;Valor_semestre/descuentoVotacion;-50000;04-jul-2020;21-jul-2020;111903;10-abr-2020;159253;27-mar-2020;156443;3867411;3979314;4138567;4295010;Solicitud de matricula financiera;SOLMAFI;20-mar-2020;Revisado;1144544511
3691;Liliana;Gomez;6;Nocturna;2137150;Valor_semestre/descuentoVotacion;-50000;10-may-2020;21-jul-2020;124179;26-feb-2020;100260;16-jun-2020;163116;2087150;2211329;2311589;2474705;Solicitud de matricula financiera;SOLMAFI;04-jul-2020;Pendiente;1144909367
6227;Miller;Gomez;10;Diurna;1778796;Valor_semestre/descuentoCoomeva;-200000;11-abr-2020;26-feb-2020;104003;29-jun-2020;195911;26-abr-2020;189172;1578796;1682799;1878710;2067882;Solicitud de matricula financiera;SOLMAFI;14-feb-2020;Revisado;1144352057
6417;Andres;Hincapie;7;Diurna;1876350;Valor_semestre/descuentoCoomeva;-200000;12-jun-2020;13-jul-2020;180743;08-jul-2020;193142;13-abr-2020;145445;1676350;1857093;2050235;2195680;Solicitud de matricula financiera;SOLMAFI;06-may-2020;Pendiente;1144855685
466;Isbelia;Gonzalez;1;Diurna;3408618;Valor_semestre/descuentoCoomeva;-200000;25-jun-2020;21-mar-2020;108506;12-abr-2020;132916;07-jun-2020;185599;3208618;3317124;3450040;3635639;Solicitud de matricula financiera;SOLMAFI;13-mar-2020;Revisado;1144248935
4763;Lina;Grisales;3;Diurna;3132261;Valor_semestre/descuentoVotacion;-50000;24-mar-2020;27-jun-2020;140790;23-jun-2020;188400;01-feb-2020;170391;3082261;3223051;3411451;3581842;Solicitud de matricula financiera;SOLMAFI;28-jun-2020;Pendiente;1144217268
6826;Johana;Guzman;7;Nocturna;2842460;Valor_semestre/descuentoVotacion;-50000;21-may-2020;08-may-2020;136265;14-abr-2020;179316;11-feb-2020;169516;2792460;2928725;3108041;3277557;Solicitud de matricula financiera;SOLMAFI;21-jun-2020;Revisado;1144583757
6161;Martha;Henao;6;Nocturna;2643595;Valor_semestre/descuentoCoomeva;-200000;16-may-2020;30-mar-2020;157554;10-abr-2020;157541;06-jun-2020;170067;2443595;2601149;2758690;2928757;Solicitud de matricula financiera;SOLMAFI;14-jun-2020;Pendiente;1144544928
2189;Marisol;Hernandez;1;Diurna;1154095;Valor_semestre/descuentoVotacion;-50000;24-may-2020;13-jul-2020;168474;06-jun-2020;152117;12-abr-2020;109388;1104095;1272569;1424686;1534074;Solicitud de matricula financiera;SOLMAFI;17-jul-2020;Revisado;1144510089
6380;Cristian;Hincapie;7;Diurna;1887466;Valor_semestre/descuentoVotacion;-50000;22-jun-2020;25-mar-2020;180010;11-jun-2020;108480;27-abr-2020;177410;1837466;2017476;2125956;2303366;Solicitud de matricula financiera;SOLMAFI;10-jul-2020;Pendiente;1144283414
8836;Juan;Giraldo;7;Diurna;1775919;Valor_semestre/descuentoVotacion;-50000;08-feb-2020;07-may-2020;115405;06-may-2020;121437;19-abr-2020;132758;1725919;1841324;1962761;2095519;Solicitud de matricula financiera;SOLMAFI;29-may-2020;Revisado;1144607094
3015;Ruth;Lopera;1;Nocturna;1261199;Valor_semestre/descuentoCoomeva;-200000;02-jul-2020;12-feb-2020;181897;20-may-2020;147999;22-abr-2020;153123;1061199;1243096;1391095;1544218;Solicitud de matricula financiera;SOLMAFI;09-jun-2020;Pendiente;1144298410
7620;Solina;Lopera;3;Diurna;1795767;Valor_semestre;0;10-abr-2020;24-jul-2020;145136;21-jun-2020;107250;02-jul-2020;140628;1795767;1940903;2048153;2188781;Solicitud de matricula financiera;SOLMAFI;31-mar-2020;Revisado;1144773107
887;Lizeth;Lopez;8;Diurna;3075479;Valor_semestre/descuentoVotacion;-50000;21-feb-2020;09-jun-2020;189039;02-jun-2020;124206;08-feb-2020;146148;3025479;3214518;3338724;3484872;Solicitud de matricula financiera;SOLMAFI;13-may-2020;Pendiente;1144324879
3932;Sandra;Lujan;10;Diurna;2198273;Valor_semestre/descuentoVotacion;-50000;15-jul-2020;15-abr-2020;168644;17-mar-2020;111230;24-jun-2020;130257;2148273;2316917;2428147;2558404;Solicitud de matricula financiera;SOLMAFI;21-may-2020;Revisado;1144299207
2255;Esmeralda;Madrigal;4;Diurna;3152309;Valor_semestre/descuentoVotacion;-50000;21-jun-2020;24-abr-2020;108490;21-feb-2020;106412;25-may-2020;105823;3102309;3210799;3317211;3423034;Solicitud de matricula financiera;SOLMAFI;07-mar-2020;Pendiente;1144319266
